Name (Name),Adresse (Address),Website (Webseite)
Baugenossenschaft Mettlen Richterswil,"Hotzestrasse 8, 8805 Richterswil",N/A
Baugenossenschaft Mettlenweg,"Narzissenweg 29, 2504 Biel/Bienne",N/A
Baugenossenschaft MONBIJOU,"Battenbergweg 57, 2504 Biel/Bienne",www.bg-monbijou.ch
Baugenossenschaft Mythen,8840 Einsiedeln,www.baugenossenschaft-mythen.ch
Baugenossenschaft NIDOWA,"Beundenring 8 - 5, 2560 Nidau",N/A
Baugenossenschaft Oberrieden,"Schappi-Naefstrasse 11, 8942 Oberrieden",N/A
Baugenossenschaft Oberstrass,"Winterthurerstrasse 123, 8006 Zurich",www.bgoberstrass.ch
Baugenossenschaft Opfikon,"Glattalstrasse 188, 8153 Rumlang",N/A
Baugenossenschaft Pfannenstil,"Pfannenstielstrasse 188, 8706 Meilen",N/A
Baugenossenschaft Pfaffikon ZH (BGP),"Baumgartenstrasse 12, 8330 Pfaffikon",N/A
Baugenossenschaft Pilatus Horw,"Allmendstrasse 14, 6048 Horw",N/A
Baugenossenschaft Pilatus Malters,6102 Malters,N/A
Baugenossenschaft Ponsyrus,"Anwandstrasse 9, 8004 Zurich",N/A
Baugenossenschaft Pro Familia Kirchacker,"Dianaweg 10, 3097 Liebefeld",www.pro-familia-kirchacker.ch
Baugenossenschaft Rapperswil Jona,"Bollwiesstrasse 16, 8645 Jona SG",N/A
Baugenossenschaft Reppisch Birmensdorf,"Lettenmattstrasse 23, 8903 Birmensdorf",N/A
Baugenossenschaft Reussbuhl,"Ruopigenring 105, 6015 Luzern",N/A
Baugenossenschaft Rohrbach,"Riedmatt 39, 4938 Rohrbach",www.jaeggi-architektur.ch
Baugenossenschaft ROSENGARTEN,"Lischenweg 43, 2503 Biel/Bienne",www.bgrosengarten.ch
Baugenossenschaft Rotach Zurich,"Gertrudstrasse 69, 8003 Zurich",www.rotach.ch
Baugenossenschaft Ruschlikon,"Bahnhofstrasse 29a, 8803 Ruschlikon",N/A
Baugenossenschaft Schwarzenberg,"Geissbuhl 5, 6102 Malters",N/A
Baugenossenschaft Schonau,"Koschenrutistrasse 95, 8052 Zurich",www.bsz-schoenau.ch
Baugenossenschaft Schonheim,"In der Ey 22, 8047 Zurich",www.schoenheim.ch
Baugenossenschaft Seegraben,"Grossweid 110, 8607 Aathal-Seegraben",N/A
Baugenossenschaft Seerose Ebikon,6031 Ebikon,N/A
Baugenossenschaft Seniorenwohnraum Dielsdorf,"Im Bahnhofgarten 8, 8157 Dielsdorf",N/A
Baugenossenschaft Sihlhalde,"Feldweg 1, 8134 Adliswil",www.bgsihlhalde.ch
Baugenossenschaft SILU,"Steinackerstrasse 2, 8302 Kloten",www.bgsilu.ch
Baugenossenschaft Simplon,"Riedbachstrasse 23, 3900 Brig (VS)",N/A
Baugenossenschaft Sonnengarten,"Triemlistrasse 22, 8047 Zurich",www.bg-sonnengarten.ch
"Baugenossenschaft St. Jakob, Zurich","Agnesstrasse 19, 8004 Zurich",www.bgsj.ch
